Duty Card No,Route Name,Trip Type,Pick Up Time,Drop Off Time,Shift Time
A024,GD12,IN,03:48,04:20,05:00
A024,GD07,IN,04:44,05:20,06:00
A024,GD21,IN,05:35,06:20,07:00
A024,GD19,OUT,06:40,07:32,06:00
A025,GE55,OUT,01:15,01:50,01:00
A025,GD22,OUT,02:40,03:30,02:00
A025,GD11,IN,03:38,04:20,05:00
A025,GD22,OUT,04:40,05:30,04:00
A025,GE16,IN,05:50,06:40,07:00
A025,GE02,IN,06:50,07:45,08:00
A026,GD12,OUT,00:40,01:18,00:00
A026,GE99B,OUT,01:40,02:00,01:00
A026,GD01,IN,03:25,04:20,05:00
A026,GD01,IN,04:41,05:20,06:00
A026,GD22,IN,05:36,06:20,07:00
A026,GD11A,OUT,06:40,07:30,06:00
A027,GD22,OUT,00:40,01:30,00:00
A027,GE99C,OUT,01:40,02:20,01:00
A027,GE98,IN,03:21,04:40,05:00
A027,GD22,IN,05:06,06:20,07:00
A027,GD01,OUT,06:40,07:27,06:00
A028,GD23,OUT,00:40,01:16,00:00
A028,GD24,OUT,02:40,03:20,02:00
A028,GE95A,IN,03:44,04:40,05:00
A028,GD12,OUT,05:40,06:18,05:00
A028,CC,IN,06:30,07:00,08:00
A029,GE99A,OUT,01:40,02:30,01:00
A029,GE99A,IN,04:04,04:40,05:00
A029,GK03A,IN,05:20,05:45,06:00
A029,GK03,IN,06:07,06:45,07:00
A029,GE53,IN,23:43,00:15,00:30
A030,GE98,OUT,01:40,02:50,01:00
A030,GD11A,IN,04:20,05:20,06:00
A030,GE35,IN,06:00,06:52,07:00
A030,CC,IN,07:15,07:45,08:00
A030,GE32,IN,07:45,08:50,09:00
A031,GE95A,OUT,01:40,02:40,01:00
A031,GD07,IN,03:44,04:20,05:00
A031,GK01A,IN,05:08,05:45,06:00
A031,GE16A,IN,05:59,06:50,07:00
A031,GD19,IN,07:20,08:20,09:00
A032,GD06,IN,03:58,04:20,05:00
