Duty Card No,Route Name,Trip Type,Pick Up Time,Drop Off Time,Shift Time
B039,GD19,IN,17:35,18:20,19:00
B039,GD19,OUT,18:40,19:32,18:00
B039,GD18,IN,20:15,21:20,22:00
B039,GD09,OUT,21:40,22:20,21:00
B040,EEMC10,OUT,18:15,19:23,18:00
B040,GD19A,IN,20:17,21:20,22:00
B040,GD19,OUT,21:40,22:32,21:00
B040,GE99A,OUT,23:40,00:20,23:00
B041,GE53,IN,15:43,16:15,17:00
B041,DWC31a,IN,16:59,17:55,18:00
B041,IBN SHUT,OUT,19:00,19:30,19:00
B041,DM/EK06,OUT,21:00,21:45,21:00
B041,GE95A,OUT,23:40,00:20,23:00
B042,GE02,IN,15:17,16:15,17:00
B042,GE55,OUT,16:40,17:20,17:00
B042,EEMC22,OUT,18:15,19:15,18:00
B042,GD22,IN,20:46,21:20,22:00
B042,GD18,OUT,21:40,22:30,21:00
B042,CC,OUT,23:00,23:30,23:00
B043,GD11A,IN,16:35,17:20,18:00
B043,GD07,OUT,17:40,18:20,17:00
B043,GD18,OUT,19:40,20:25,19:00
B043,MOE SARAB,OUT,21:00,21:50,21:00
B043,GD23,IN,22:35,23:20,00:00
B044,CC,OUT,15:30,16:00,15:00
B044,GD30,OUT,16:20,17:00,17:00
B044,GK03A,OUT,18:25,19:10,18:00
B044,GD12,OUT,19:40,20:12,19:00
B044,GD12,IN,20:30,21:20,22:00
B044,GE98,OUT,22:10,23:20,22:00
B045,GD24,IN,12:16,13:20,14:00
B045,GK02,OUT,14:20,15:11,14:00
B045,GE33,IN,15:34,16:15,17:00
B045,GE05,OUT,16:40,17:20,17:00
B045,GD22,OUT,19:40,20:20,19:00
B046,GE99B,IN,12:34,13:10,14:00
B046,GE99B,OUT,13:40,14:00,13:00
B046,GE95A,OUT,15:40,16:40,15:00
B046,GK05,IN,17:12,17:45,18:00
B046,GE99B,OUT,18:40,19:10,18:00
B072,EEMC23B,IN,12:28,13:50,14:00
B072,EEMC23B,OUT,14:40,15:50,14:00
B072,GD07,IN,16:30,17:20,18:00
B072,GD19,OUT,17:40,18:32,17:00
B072,GE05,OUT,19:20,20:10,19:00
B075,GD01A,OUT,16:00,16:57,15:00
B075,GD12,IN,17:20,18:20,19:00
B075,GE38,OUT,19:20,20:00,19:00
B075,GD30,IN,21:22,21:45,22:00
B075,GE33,IN,23:34,00:15,00:30
CREW 01B,GE05,OUT,01:15,01:50,01:00
CREW 01B,GE60,OUT,17:40,18:34,17:00
CREW 01B,GE55,OUT,19:20,19:50,19:00
CREW 01B,GE02,IN,23:17,00:15,00:30
SB-SG3 01 A,GD30,OUT,05:20,05:50,05:00
